date,description,amount,category
2022-12-01,Fine Dining Restaurant,"Rs 16,829.67",Food & Dining
2022-12-01,Fine Dining Restaurant,"Rs 8,856.43",Food & Dining
2022-12-01,Investment Advisory Fee,"Rs 9,845.43",Miscellaneous
2022-12-03,Interior Design Service,"Rs 189,319.74",Housing
2022-12-03,Dividend Credit,"Rs 74,710.16",Income
2022-12-03,Myntra Fashion,"Rs 2,801.71",Shopping
2022-12-05,Security System,"Rs 14,439.08",Housing
2022-12-05,Ola Cab,Rs 394.22,Transportation
2022-12-07,Zomato Food Delivery,Rs 169.57,Food & Dining
2022-12-10,Golf Club Membership,"Rs 6,220.76",Healthcare
2022-12-11,Meesho Order,Rs 157.16,Shopping
2022-12-13,5-Star Hotel,"Rs 11,247.02",Travel
2022-12-13,Amazon Purchase,"Rs 1,018.34",Shopping
2022-12-13,Interest Credit,"Rs 6,895.28",Income
2022-12-14,Security System,"Rs 21,465.06",Housing
2022-12-14,Netflix Subscription,Rs 431.29,Subscriptions
2022-12-14,Flipkart Order,"Rs 5,654.20",Shopping
2022-12-17,Premium Gym,"Rs 4,430.62",Healthcare
2022-12-17,Uber Ride,Rs 92.25,Transportation
2022-12-18,Premium Gym,"Rs 2,678.92",Healthcare
2022-12-19,Flipkart Order,"Rs 2,370.96",Shopping
2022-12-19,Swiggy Order,Rs 421.81,Food & Dining
2022-12-21,Rapido Bike Taxi,Rs 79.82,Transportation
2022-12-22,Interior Design Service,"Rs 146,654.91",Housing
2022-12-23,Hotstar Subscription,Rs 584.53,Subscriptions
2022-12-24,BigBasket Groceries,"Rs 1,055.36",Groceries
2022-12-26,Luxury Watch Service,"Rs 38,264.94",Shopping
2022-12-26,BookMyShow Tickets,Rs 735.98,Entertainment
2022-12-27,Interior Design Service,"Rs 101,260.36",Housing
2022-12-28,BMW Service Center,"Rs 10,579.89",Transportation
2022-12-28,Security System,"Rs 22,864.98",Housing
2022-12-29,BMW Service Center,"Rs 21,535.44",Transportation
2022-12-29,Business Profit Transfer,"Rs 213,078.51",Income
2022-12-29,Flipkart Order,"Rs 4,451.49",Shopping
2022-12-30,Hotstar Subscription,Rs 437.71,Subscriptions
2022-12-30,Business Class Flight,"Rs 43,380.16",Travel
2022-12-30,Uber Ride,Rs 140.19,Transportation
2022-12-31,Chartered Accountant,"Rs 11,748.07",Miscellaneous
2023-01-01,5-Star Hotel,"Rs 30,300.14",Travel
2023-01-02,Stock Options,"Rs 161,997.64",Income
2023-01-03,YouTube Premium,Rs 139.00,Subscriptions
2023-01-05,Swiggy Order,Rs 689.23,Food & Dining
2023-01-05,Business Class Flight,"Rs 56,718.06",Travel
2023-01-07,More Supermarket,Rs 353.08,Groceries
2023-01-07,Designer Brand Store,"Rs 17,779.72",Shopping
2023-01-08,Rental Income,"Rs 50,156.43",Income
2023-01-09,DMart Purchase,Rs 426.97,Groceries
2023-01-09,Reliance Fresh,"Rs 1,714.39",Groceries
2023-01-12,Designer Brand Store,"Rs 14,138.92",Shopping
2023-01-12,Luxury Watch Service,"Rs 11,374.94",Shopping
2023-01-12,Spotify Premium,Rs 119.00,Subscriptions
2023-01-12,Amazon Prime,Rs 305.04,Subscriptions
2023-01-13,Amazon Purchase,Rs 448.77,Shopping
2023-01-13,Chartered Accountant,"Rs 26,202.76",Miscellaneous
2023-01-15,Interior Design Service,"Rs 150,849.78",Housing
2023-01-15,Amazon Purchase,"Rs 5,828.08",Shopping
2023-01-16,Netflix Subscription,Rs 320.10,Subscriptions
2023-01-17,Parking Premium Mall,Rs 716.70,Transportation
2023-01-18,BigBasket Groceries,"Rs 3,022.39",Groceries
2023-01-18,Business Profit Transfer,"Rs 91,674.27",Income
2023-01-18,Luxury Watch Service,"Rs 32,067.36",Shopping
2023-01-20,Business Profit Transfer,"Rs 284,720.54",Income
2023-01-20,Ola Cab,Rs 228.54,Transportation
2023-01-22,Premium Whisky Shop,"Rs 3,093.56",Food & Dining
2023-01-22,Amazon Prime,Rs 325.42,Subscriptions
2023-01-23,Business Profit Transfer,"Rs 83,337.23",Income
2023-01-23,Rental Income,"Rs 23,675.02",Income
2023-01-26,Hotstar Subscription,Rs 181.40,Subscriptions
2023-01-26,Zomato Food Delivery,Rs 430.35,Food & Dining
2023-01-27,Swiggy Order,Rs 514.01,Food & Dining
2023-01-28,Fine Dining Restaurant,"Rs 12,985.08",Food & Dining
2023-01-28,Premium Whisky Shop,"Rs 9,161.37",Food & Dining
2023-01-29,Spotify Premium,Rs 119.00,Subscriptions
2023-01-29,Annual Bonus,"Rs 213,432.60",Income
2023-01-29,Investment Advisory Fee,"Rs 17,397.96",Miscellaneous
2023-01-29,BookMyShow Tickets,Rs 241.02,Entertainment
2023-01-29,Uber Ride,Rs 542.58,Transportation
2023-01-30,Premium Gym,"Rs 4,226.73",Healthcare
2023-01-31,DMart Purchase,"Rs 3,141.37",Groceries
2023-02-01,Premium Whisky Shop,"Rs 8,712.82",Food & Dining
2023-02-01,Ajio Clothing,"Rs 3,435.77",Shopping
2023-02-02,Premium Gym,"Rs 3,818.47",Healthcare
2023-02-04,Fine Dining Restaurant,"Rs 8,661.45",Food & Dining
2023-02-05,Spotify Premium,Rs 119.00,Subscriptions
2023-02-05,Parking Premium Mall,Rs 539.45,Transportation
2023-02-06,BigBasket Groceries,"Rs 3,517.10",Groceries
2023-02-06,Security System,"Rs 23,856.94",Housing
2023-02-06,Interest Credit,"Rs 24,547.89",Income
2023-02-06,DMart Purchase,Rs 857.62,Groceries
2023-02-06,Designer Brand Store,"Rs 9,371.50",Shopping
2023-02-06,Interest Credit,"Rs 18,418.10",Income
2023-02-08,Rapido Bike Taxi,Rs 52.40,Transportation
2023-02-09,Swiggy Order,Rs 383.48,Food & Dining
2023-02-10,DMart Purchase,Rs 510.82,Groceries
2023-02-11,Annual Bonus,"Rs 370,083.62",Income
2023-02-12,Ajio Clothing,"Rs 1,527.40",Shopping
2023-02-12,Ola Cab,Rs 304.76,Transportation
2023-02-12,Investment Advisory Fee,"Rs 5,875.42",Miscellaneous
2023-02-13,Designer Brand Store,"Rs 55,099.53",Shopping
2023-02-14,BookMyShow Tickets,Rs 689.36,Entertainment
2023-02-15,Golf Club Membership,"Rs 20,554.27",Healthcare
2023-02-15,Spotify Premium,Rs 119.00,Subscriptions
2023-02-16,Golf Club Membership,"Rs 7,656.37",Healthcare
2023-02-17,Fine Dining Restaurant,"Rs 10,533.03",Food & Dining
2023-02-17,5-Star Hotel,"Rs 43,946.12",Travel
2023-02-21,Salary CTC Credit,"Rs 576,958.54",Income
2023-02-21,Amazon Purchase,"Rs 1,975.88",Shopping
2023-02-22,Investment Advisory Fee,"Rs 16,734.25",Miscellaneous
2023-02-22,Dividend Credit,"Rs 12,478.50",Income
2023-02-22,Business Profit Transfer,"Rs 170,237.95",Income
2023-02-24,Premium Gym,"Rs 3,810.06",Healthcare
2023-02-24,Salary CTC Credit,"Rs 477,153.73",Income
2023-02-24,Amazon Prime,Rs 400.71,Subscriptions
2023-02-25,Spotify Premium,Rs 119.00,Subscriptions
2023-02-26,Designer Brand Store,"Rs 35,667.78",Shopping
2023-02-27,5-Star Hotel,"Rs 19,634.38",Travel
2023-02-28,Amazon Prime,Rs 868.48,Subscriptions
2023-03-02,Premium Whisky Shop,"Rs 3,133.30",Food & Dining
2023-03-03,Interest Credit,"Rs 19,631.23",Income
2023-03-04,Golf Club Membership,"Rs 8,834.23",Healthcare
2023-03-05,Zomato Food Delivery,Rs 238.09,Food & Dining
2023-03-08,Chartered Accountant,"Rs 14,396.01",Miscellaneous
2023-03-10,YouTube Premium,Rs 139.00,Subscriptions
2023-03-13,Interior Design Service,"Rs 116,565.08",Housing
2023-03-13,Swiggy Order,Rs 530.89,Food & Dining
2023-03-14,Rental Income,"Rs 77,500.86",Income
2023-03-14,Premium Whisky Shop,"Rs 3,313.18",Food & Dining
2023-03-15,Meesho Order,Rs 812.52,Shopping
2023-03-17,Salary CTC Credit,"Rs 587,936.39",Income
2023-03-17,Business Class Flight,"Rs 47,012.90",Travel
2023-03-18,Premium Whisky Shop,"Rs 13,784.56",Food & Dining
2023-03-20,Salary CTC Credit,"Rs 460,985.08",Income
2023-03-20,Spotify Premium,Rs 119.00,Subscriptions
2023-03-21,Spotify Premium,Rs 119.00,Subscriptions
2023-03-22,Ajio Clothing,"Rs 1,426.89",Shopping
2023-03-23,Rental Income,"Rs 73,860.31",Income
2023-03-23,Myntra Fashion,"Rs 3,953.45",Shopping
2023-03-24,Rental Income,"Rs 34,437.69",Income
2023-03-24,Amazon Purchase,"Rs 2,898.68",Shopping
2023-03-24,BookMyShow Tickets,Rs 560.12,Entertainment
2023-03-24,Meesho Order,Rs 745.49,Shopping
2023-03-24,DMart Purchase,Rs 433.27,Groceries
2023-03-25,Annual Bonus,"Rs 282,232.47",Income
2023-03-25,Ajio Clothing,"Rs 3,177.04",Shopping
2023-03-26,Designer Brand Store,"Rs 98,705.85",Shopping
2023-03-28,Swiggy Order,Rs 553.47,Food & Dining
2023-03-29,Swiggy Order,Rs 736.65,Food & Dining
2023-03-29,Ola Cab,Rs 397.77,Transportation
2023-03-29,5-Star Hotel,"Rs 18,453.79",Travel
2023-03-30,Chartered Accountant,"Rs 32,609.40",Miscellaneous
2023-04-01,Spotify Premium,Rs 119.00,Subscriptions
2023-04-02,Spotify Premium,Rs 119.00,Subscriptions
2023-04-04,Luxury Watch Service,"Rs 48,690.00",Shopping
2023-04-04,Fine Dining Restaurant,"Rs 18,632.14",Food & Dining
2023-04-04,Ajio Clothing,"Rs 2,079.81",Shopping
2023-04-05,Spotify Premium,Rs 119.00,Subscriptions
2023-04-06,Parking Premium Mall,Rs 640.32,Transportation
2023-04-06,Amazon Prime,Rs 713.06,Subscriptions
2023-04-06,Golf Club Membership,"Rs 10,346.26",Healthcare
2023-04-08,BMW Service Center,"Rs 38,268.94",Transportation
2023-04-09,BMW Service Center,"Rs 48,672.68",Transportation
2023-04-09,Interior Design Service,"Rs 30,300.06",Housing
2023-04-09,Zomato Food Delivery,Rs 523.40,Food & Dining
2023-04-11,Salary CTC Credit,"Rs 354,204.75",Income
2023-04-13,Spotify Premium,Rs 119.00,Subscriptions
2023-04-13,Fine Dining Restaurant,"Rs 3,657.79",Food & Dining
2023-04-14,Myntra Fashion,"Rs 3,311.56",Shopping
2023-04-14,Netflix Subscription,Rs 547.78,Subscriptions
2023-04-15,Swiggy Order,Rs 747.33,Food & Dining
2023-04-15,Flipkart Order,"Rs 5,627.88",Shopping
2023-04-15,5-Star Hotel,"Rs 49,679.46",Travel
2023-04-15,Meesho Order,Rs 865.68,Shopping
2023-04-16,Ajio Clothing,Rs 804.64,Shopping
2023-04-16,Flipkart Order,"Rs 4,296.91",Shopping
2023-04-16,BigBasket Groceries,"Rs 2,040.50",Groceries
2023-04-16,Swiggy Order,Rs 871.85,Food & Dining
2023-04-16,Rental Income,"Rs 69,294.86",Income
2023-04-17,Golf Club Membership,"Rs 18,345.70",Healthcare
2023-04-17,Golf Club Membership,"Rs 18,955.33",Healthcare
2023-04-18,Luxury Watch Service,"Rs 14,167.75",Shopping
2023-04-20,Amazon Prime,Rs 895.59,Subscriptions
2023-04-20,Zomato Food Delivery,Rs 266.44,Food & Dining
2023-04-23,5-Star Hotel,"Rs 16,665.92",Travel
2023-04-24,DMart Purchase,"Rs 2,768.20",Groceries
2023-04-24,Amazon Prime,Rs 220.06,Subscriptions
2023-04-24,Amazon Prime,Rs 986.40,Subscriptions
2023-04-26,Fine Dining Restaurant,"Rs 9,535.64",Food & Dining
2023-04-26,Stock Options,"Rs 190,290.74",Income
2023-04-28,Golf Club Membership,"Rs 25,877.51",Healthcare
2023-04-28,Investment Advisory Fee,"Rs 11,636.39",Miscellaneous
2023-04-29,Amazon Prime,Rs 760.52,Subscriptions
2023-04-30,Meesho Order,"Rs 1,289.21",Shopping
2023-04-30,Chartered Accountant,"Rs 26,792.79",Miscellaneous
2023-05-01,Ajio Clothing,Rs 410.72,Shopping
2023-05-01,Parking Premium Mall,Rs 518.09,Transportation
2023-05-02,Luxury Watch Service,"Rs 21,785.59",Shopping
2023-05-03,Dividend Credit,"Rs 55,129.64",Income
2023-05-03,Business Profit Transfer,"Rs 219,212.34",Income
2023-05-04,Reliance Fresh,Rs 482.66,Groceries
2023-05-04,Amazon Prime,Rs 267.68,Subscriptions
2023-05-05,Amazon Purchase,"Rs 4,410.15",Shopping
2023-05-07,BookMyShow Tickets,Rs 916.26,Entertainment
2023-05-07,BMW Service Center,"Rs 29,719.14",Transportation
2023-05-07,Premium Whisky Shop,"Rs 7,822.01",Food & Dining
2023-05-09,Spotify Premium,Rs 119.00,Subscriptions
2023-05-09,Interior Design Service,"Rs 77,061.31",Housing
2023-05-09,BMW Service Center,"Rs 6,082.95",Transportation
2023-05-11,Salary CTC Credit,"Rs 288,393.11",Income
2023-05-12,Business Class Flight,"Rs 51,534.02",Travel
2023-05-13,Reliance Fresh,"Rs 1,841.41",Groceries
2023-05-13,Hotstar Subscription,Rs 245.46,Subscriptions
2023-05-14,BigBasket Groceries,Rs 662.77,Groceries
2023-05-15,BookMyShow Tickets,Rs 379.98,Entertainment
2023-05-15,Chartered Accountant,"Rs 24,505.36",Miscellaneous
2023-05-16,DMart Purchase,"Rs 2,323.62",Groceries
2023-05-16,DMart Purchase,Rs 306.14,Groceries
2023-05-17,Hotstar Subscription,Rs 442.72,Subscriptions
2023-05-17,Security System,"Rs 13,038.67",Housing
2023-05-18,Flipkart Order,"Rs 1,278.73",Shopping
2023-05-18,Zomato Food Delivery,Rs 406.28,Food & Dining
2023-05-20,Premium Gym,"Rs 4,259.63",Healthcare
2023-05-21,Business Class Flight,"Rs 80,165.02",Travel
2023-05-22,Annual Bonus,"Rs 344,289.89",Income
2023-05-22,Business Class Flight,"Rs 87,447.70",Travel
2023-05-22,Swiggy Order,Rs 538.62,Food & Dining
2023-05-22,Swiggy Order,Rs 397.50,Food & Dining
2023-05-22,Hotstar Subscription,Rs 873.92,Subscriptions
2023-05-23,YouTube Premium,Rs 139.00,Subscriptions
2023-05-24,Parking Premium Mall,Rs 796.20,Transportation
2023-05-24,Amazon Prime,Rs 952.74,Subscriptions
2023-05-25,Interior Design Service,"Rs 194,108.20",Housing
2023-05-25,Designer Brand Store,"Rs 20,778.06",Shopping
2023-05-25,Rapido Bike Taxi,Rs 49.09,Transportation
2023-05-26,Annual Bonus,"Rs 148,213.85",Income
2023-05-26,Designer Brand Store,"Rs 57,580.63",Shopping
2023-05-27,Ola Cab,Rs 236.67,Transportation
2023-05-27,Ajio Clothing,"Rs 2,276.32",Shopping
2023-05-28,Dividend Credit,"Rs 63,969.12",Income
2023-05-28,Premium Whisky Shop,"Rs 2,009.97",Food & Dining
2023-05-28,Ajio Clothing,"Rs 2,180.40",Shopping
2023-05-29,Premium Whisky Shop,"Rs 12,430.10",Food & Dining
2023-05-29,Spotify Premium,Rs 119.00,Subscriptions
2023-05-29,Stock Options,"Rs 161,454.52",Income
2023-05-29,Chartered Accountant,"Rs 19,107.63",Miscellaneous
2023-05-29,Designer Brand Store,"Rs 71,734.56",Shopping
2023-05-30,5-Star Hotel,"Rs 36,252.39",Travel
2023-05-31,Annual Bonus,"Rs 240,990.09",Income
2023-06-01,Uber Ride,Rs 442.65,Transportation
2023-06-02,Ajio Clothing,"Rs 2,151.08",Shopping
2023-06-05,Ola Cab,Rs 193.51,Transportation
2023-06-06,Stock Options,"Rs 247,229.73",Income
2023-06-06,Salary CTC Credit,"Rs 334,567.17",Income
2023-06-06,Annual Bonus,"Rs 497,437.56",Income
2023-06-08,Netflix Subscription,Rs 328.23,Subscriptions
2023-06-08,Swiggy Order,Rs 321.27,Food & Dining
2023-06-09,Amazon Prime,Rs 773.84,Subscriptions
2023-06-10,Security System,"Rs 25,255.80",Housing
2023-06-10,Designer Brand Store,"Rs 79,131.94",Shopping
2023-06-10,Uber Ride,Rs 361.55,Transportation
2023-06-11,Ola Cab,Rs 95.47,Transportation
2023-06-11,Premium Gym,"Rs 4,414.90",Healthcare
2023-06-12,Business Class Flight,"Rs 144,530.84",Travel
2023-06-13,Golf Club Membership,"Rs 28,600.27",Healthcare
2023-06-13,DMart Purchase,"Rs 2,823.62",Groceries
2023-06-16,Fine Dining Restaurant,"Rs 5,153.74",Food & Dining
2023-06-16,Fine Dining Restaurant,"Rs 7,810.00",Food & Dining
2023-06-17,Swiggy Order,Rs 153.44,Food & Dining
2023-06-18,Ajio Clothing,"Rs 2,958.69",Shopping
2023-06-19,Dividend Credit,"Rs 58,028.59",Income
2023-06-22,Myntra Fashion,"Rs 1,962.79",Shopping
2023-06-22,Parking Premium Mall,Rs 665.59,Transportation
2023-06-23,Ola Cab,Rs 370.94,Transportation
2023-06-23,BMW Service Center,"Rs 33,744.03",Transportation
2023-06-24,Premium Gym,"Rs 3,476.37",Healthcare
2023-06-26,Golf Club Membership,"Rs 8,037.49",Healthcare
2023-06-26,Myntra Fashion,"Rs 1,616.39",Shopping
2023-06-27,Netflix Subscription,Rs 475.95,Subscriptions
2023-06-28,Rapido Bike Taxi,Rs 73.66,Transportation
2023-06-28,Security System,"Rs 28,168.07",Housing
2023-06-29,Premium Gym,"Rs 3,899.35",Healthcare
2023-07-01,Amazon Purchase,"Rs 5,422.75",Shopping
2023-07-01,Rapido Bike Taxi,Rs 55.56,Transportation
2023-07-01,Meesho Order,"Rs 1,300.07",Shopping
2023-07-02,Parking Premium Mall,Rs 775.61,Transportation
2023-07-04,Business Profit Transfer,"Rs 190,589.12",Income
2023-07-04,More Supermarket,"Rs 1,075.28",Groceries
2023-07-05,Stock Options,"Rs 239,224.90",Income
2023-07-07,Designer Brand Store,"Rs 80,529.01",Shopping
2023-07-07,5-Star Hotel,"Rs 61,710.69",Travel
2023-07-08,Zomato Food Delivery,Rs 577.94,Food & Dining
2023-07-08,Salary CTC Credit,"Rs 565,468.19",Income
2023-07-09,Interior Design Service,"Rs 140,425.54",Housing
2023-07-09,Hotstar Subscription,Rs 509.89,Subscriptions
2023-07-10,Rapido Bike Taxi,Rs 146.58,Transportation
2023-07-10,BookMyShow Tickets,"Rs 1,030.82",Entertainment
2023-07-12,BigBasket Groceries,"Rs 3,157.31",Groceries
2023-07-12,Business Class Flight,"Rs 48,838.54",Travel
2023-07-12,Luxury Watch Service,"Rs 77,717.63",Shopping
2023-07-12,DMart Purchase,"Rs 1,214.17",Groceries
2023-07-14,BigBasket Groceries,"Rs 3,995.13",Groceries
2023-07-15,Reliance Fresh,Rs 353.65,Groceries
2023-07-15,BMW Service Center,"Rs 24,954.74",Transportation
2023-07-15,Zomato Food Delivery,Rs 614.17,Food & Dining
2023-07-16,Hotstar Subscription,Rs 392.05,Subscriptions
2023-07-17,Rental Income,"Rs 57,284.89",Income
2023-07-18,BMW Service Center,"Rs 47,390.13",Transportation
2023-07-18,Myntra Fashion,"Rs 1,821.06",Shopping
2023-07-18,Zomato Food Delivery,Rs 397.11,Food & Dining
2023-07-21,Investment Advisory Fee,"Rs 18,117.74",Miscellaneous
2023-07-22,BigBasket Groceries,"Rs 2,789.51",Groceries
2023-07-23,Rapido Bike Taxi,Rs 198.22,Transportation
2023-07-23,Spotify Premium,Rs 119.00,Subscriptions
2023-07-23,Rapido Bike Taxi,Rs 158.72,Transportation
2023-07-25,Designer Brand Store,"Rs 13,983.44",Shopping
2023-07-26,Golf Club Membership,"Rs 23,381.26",Healthcare
2023-07-26,Uber Ride,Rs 266.46,Transportation
2023-07-27,Spotify Premium,Rs 119.00,Subscriptions
2023-07-28,Chartered Accountant,"Rs 12,478.43",Miscellaneous
2023-07-28,Golf Club Membership,"Rs 20,349.79",Healthcare
2023-07-29,Rapido Bike Taxi,Rs 122.45,Transportation
2023-07-30,Chartered Accountant,"Rs 30,347.08",Miscellaneous
2023-07-30,Flipkart Order,"Rs 3,878.96",Shopping
2023-07-31,Salary CTC Credit,"Rs 258,820.08",Income
2023-08-01,Interest Credit,"Rs 6,821.29",Income
2023-08-01,Meesho Order,Rs 514.06,Shopping
2023-08-03,Golf Club Membership,"Rs 5,293.64",Healthcare
2023-08-05,Premium Gym,"Rs 3,631.58",Healthcare
2023-08-05,Reliance Fresh,"Rs 1,565.60",Groceries
2023-08-06,BigBasket Groceries,Rs 847.73,Groceries
2023-08-08,DMart Purchase,"Rs 2,017.62",Groceries
2023-08-08,Rapido Bike Taxi,Rs 145.60,Transportation
2023-08-09,Ajio Clothing,"Rs 3,337.23",Shopping
2023-08-09,YouTube Premium,Rs 139.00,Subscriptions
2023-08-09,Ola Cab,Rs 333.85,Transportation
2023-08-10,Zomato Food Delivery,Rs 762.02,Food & Dining
2023-08-11,Netflix Subscription,Rs 338.14,Subscriptions
2023-08-11,Rapido Bike Taxi,Rs 68.56,Transportation
2023-08-11,Designer Brand Store,"Rs 66,584.73",Shopping
2023-08-12,Spotify Premium,Rs 119.00,Subscriptions
2023-08-12,Annual Bonus,"Rs 415,853.70",Income
2023-08-13,Rapido Bike Taxi,Rs 190.27,Transportation
2023-08-16,Chartered Accountant,"Rs 20,170.26",Miscellaneous
2023-08-18,Rental Income,"Rs 36,595.24",Income
2023-08-19,Salary CTC Credit,"Rs 396,320.13",Income
2023-08-19,Luxury Watch Service,"Rs 70,616.49",Shopping
2023-08-20,BigBasket Groceries,"Rs 3,038.38",Groceries
2023-08-20,Interior Design Service,"Rs 99,518.91",Housing
2023-08-24,BigBasket Groceries,"Rs 3,371.98",Groceries
2023-08-25,Rapido Bike Taxi,Rs 148.84,Transportation
2023-08-27,Reliance Fresh,Rs 758.80,Groceries
2023-08-28,Netflix Subscription,Rs 202.11,Subscriptions
2023-08-29,Business Class Flight,"Rs 143,883.08",Travel
2023-08-30,Reliance Fresh,Rs 966.84,Groceries
2023-08-30,Business Class Flight,"Rs 39,691.59",Travel
2023-08-30,BigBasket Groceries,"Rs 2,115.95",Groceries
2023-08-30,BMW Service Center,"Rs 34,808.10",Transportation
2023-08-31,Ajio Clothing,"Rs 2,914.59",Shopping
2023-08-31,Investment Advisory Fee,"Rs 17,947.68",Miscellaneous
2023-09-02,BigBasket Groceries,"Rs 2,764.87",Groceries
2023-09-02,Hotstar Subscription,Rs 152.42,Subscriptions
2023-09-02,Fine Dining Restaurant,"Rs 4,949.31",Food & Dining
2023-09-03,Reliance Fresh,Rs 995.59,Groceries
2023-09-03,Business Class Flight,"Rs 45,325.48",Travel
2023-09-04,Amazon Purchase,"Rs 4,296.70",Shopping
2023-09-04,Fine Dining Restaurant,"Rs 8,348.54",Food & Dining
2023-09-06,Security System,"Rs 11,559.41",Housing
2023-09-07,DMart Purchase,"Rs 1,568.37",Groceries
2023-09-08,BMW Service Center,"Rs 18,542.03",Transportation
2023-09-08,Ola Cab,Rs 113.73,Transportation
2023-09-08,Uber Ride,Rs 140.02,Transportation
2023-09-09,BookMyShow Tickets,"Rs 1,176.90",Entertainment
2023-09-09,Annual Bonus,"Rs 109,126.66",Income
2023-09-10,Interest Credit,"Rs 23,230.59",Income
2023-09-11,Ola Cab,Rs 408.74,Transportation
2023-09-13,Rental Income,"Rs 37,967.54",Income
2023-09-13,Interest Credit,"Rs 15,812.80",Income
2023-09-13,Zomato Food Delivery,Rs 550.24,Food & Dining
2023-09-14,Meesho Order,"Rs 1,137.54",Shopping
2023-09-16,Security System,"Rs 26,538.49",Housing
2023-09-18,Ola Cab,Rs 433.10,Transportation
2023-09-19,Myntra Fashion,"Rs 2,151.15",Shopping
2023-09-19,Stock Options,"Rs 225,112.98",Income
2023-09-20,Parking Premium Mall,Rs 265.25,Transportation
2023-09-20,BookMyShow Tickets,Rs 488.29,Entertainment
2023-09-21,BMW Service Center,"Rs 35,997.14",Transportation
2023-09-21,Luxury Watch Service,"Rs 50,701.08",Shopping
2023-09-22,Uber Ride,Rs 284.24,Transportation
2023-09-22,Golf Club Membership,"Rs 16,705.37",Healthcare
2023-09-23,5-Star Hotel,"Rs 44,104.59",Travel
2023-09-24,Premium Gym,"Rs 4,548.93",Healthcare
2023-09-25,Amazon Prime,Rs 873.74,Subscriptions
2023-09-25,More Supermarket,Rs 344.71,Groceries
2023-09-26,5-Star Hotel,"Rs 42,511.57",Travel
2023-09-26,Annual Bonus,"Rs 117,988.44",Income
2023-09-26,Luxury Watch Service,"Rs 75,697.29",Shopping
2023-09-27,Hotstar Subscription,Rs 660.06,Subscriptions
2023-09-28,Chartered Accountant,"Rs 16,063.56",Miscellaneous
2023-09-28,Luxury Watch Service,"Rs 39,338.91",Shopping
2023-09-29,Flipkart Order,"Rs 4,583.11",Shopping
2023-10-01,Myntra Fashion,"Rs 1,272.35",Shopping
2023-10-02,5-Star Hotel,"Rs 22,710.13",Travel
2023-10-02,Salary CTC Credit,"Rs 469,533.37",Income
2023-10-02,Hotstar Subscription,Rs 226.92,Subscriptions
2023-10-03,Meesho Order,"Rs 1,806.36",Shopping
2023-10-05,Spotify Premium,Rs 119.00,Subscriptions
2023-10-06,Stock Options,"Rs 164,960.04",Income
2023-10-06,Stock Options,"Rs 172,328.50",Income
2023-10-08,Ola Cab,Rs 260.17,Transportation
2023-10-08,Business Profit Transfer,"Rs 185,615.55",Income
2023-10-08,Zomato Food Delivery,Rs 362.27,Food & Dining
2023-10-08,BigBasket Groceries,"Rs 1,303.19",Groceries
2023-10-09,Flipkart Order,"Rs 2,258.23",Shopping
2023-10-10,Hotstar Subscription,Rs 272.07,Subscriptions
2023-10-10,DMart Purchase,"Rs 2,082.12",Groceries
2023-10-11,Uber Ride,Rs 92.67,Transportation
2023-10-12,More Supermarket,Rs 215.12,Groceries
2023-10-12,Business Class Flight,"Rs 35,034.99",Travel
2023-10-12,More Supermarket,Rs 872.21,Groceries
2023-10-12,Business Class Flight,"Rs 88,634.24",Travel
2023-10-14,Premium Gym,"Rs 2,772.53",Healthcare
2023-10-14,Amazon Prime,Rs 907.26,Subscriptions
2023-10-16,Chartered Accountant,"Rs 37,482.03",Miscellaneous
2023-10-16,BigBasket Groceries,"Rs 3,272.35",Groceries
2023-10-17,Annual Bonus,"Rs 338,194.78",Income
2023-10-17,Netflix Subscription,Rs 365.50,Subscriptions
2023-10-18,Ajio Clothing,"Rs 3,041.90",Shopping
2023-10-18,Designer Brand Store,"Rs 90,214.98",Shopping
2023-10-21,Fine Dining Restaurant,"Rs 9,840.07",Food & Dining
2023-10-22,Reliance Fresh,Rs 501.53,Groceries
2023-10-23,Parking Premium Mall,Rs 696.72,Transportation
2023-10-24,Investment Advisory Fee,"Rs 12,505.35",Miscellaneous
2023-10-24,Investment Advisory Fee,"Rs 5,460.67",Miscellaneous
2023-10-24,Meesho Order,"Rs 1,624.44",Shopping
2023-10-26,BMW Service Center,"Rs 29,424.49",Transportation
2023-10-26,Luxury Watch Service,"Rs 57,231.40",Shopping
2023-10-27,Security System,"Rs 10,785.36",Housing
2023-10-28,Amazon Purchase,"Rs 4,540.21",Shopping
2023-10-28,Stock Options,"Rs 93,551.49",Income
2023-10-29,Luxury Watch Service,"Rs 70,249.52",Shopping
2023-10-30,Amazon Purchase,"Rs 2,704.44",Shopping
2023-10-31,5-Star Hotel,"Rs 17,598.29",Travel
2023-11-02,Business Profit Transfer,"Rs 157,424.80",Income
2023-11-02,Premium Whisky Shop,"Rs 14,791.85",Food & Dining
2023-11-04,Golf Club Membership,"Rs 16,194.44",Healthcare
2023-11-05,Amazon Prime,Rs 683.33,Subscriptions
2023-11-08,Rental Income,"Rs 31,644.82",Income
2023-11-09,Stock Options,"Rs 289,552.32",Income
2023-11-10,Spotify Premium,Rs 119.00,Subscriptions
2023-11-12,BookMyShow Tickets,Rs 291.42,Entertainment
2023-11-13,BookMyShow Tickets,"Rs 1,399.53",Entertainment
2023-11-13,Parking Premium Mall,Rs 685.85,Transportation
