Value Date,Narration,Amount,Dr/Cr,Category
30-11-2021,Milk Subscription,490.51,Dr,Groceries
30-11-2021,Vegetable Market,639.03,Dr,Groceries
01-12-2021,Chemist Medical Store,2930.17,Dr,Healthcare
02-12-2021,Hospital Bill,21080.06,Dr,Healthcare
03-12-2021,Pilgrimage Travel,3059.93,Dr,Travel
03-12-2021,Grandchildren's Gift,3208.32,Dr,Shopping
03-12-2021,Fixed Deposit Interest,6418.58,Cr,Income
04-12-2021,Milk Subscription,774.2,Dr,Groceries
04-12-2021,Diagnostic Tests,5526.4,Dr,Healthcare
05-12-2021,LIC Premium,10419.26,Dr,Insurance
08-12-2021,LPG Cylinder,946.05,Dr,Utilities
08-12-2021,Grandchildren's Gift,3288.12,Dr,Shopping
09-12-2021,Pension Credit,31399.42,Cr,Income
09-12-2021,Readymade Garments,781.92,Dr,Shopping
09-12-2021,Kiryana Store,848.2,Dr,Groceries
09-12-2021,Children Transfer,15454.22,Cr,Income
10-12-2021,Newspaper Home Delivery,201.41,Dr,Subscriptions
10-12-2021,Auto Rickshaw,219.45,Dr,Transportation
11-12-2021,LPG Cylinder,944.61,Dr,Utilities
11-12-2021,Post Office Interest,2250.01,Cr,Income
11-12-2021,Pension Credit,29559.97,Cr,Income
13-12-2021,Post Office Interest,2113.65,Cr,Income
15-12-2021,Milk Subscription,436.29,Dr,Groceries
15-12-2021,Chemist Medical Store,1428.42,Dr,Healthcare
15-12-2021,LIC Premium,2827.45,Dr,Insurance
16-12-2021,Cable TV,321.91,Dr,Subscriptions
18-12-2021,LIC Premium,13259.9,Dr,Insurance
19-12-2021,Train Ticket,6787.76,Dr,Travel
19-12-2021,Post Office RD,2442.27,Dr,Insurance
20-12-2021,Post Office RD,6001.62,Dr,Insurance
21-12-2021,Readymade Garments,2077.74,Dr,Shopping
23-12-2021,Electricity Bill,1839.57,Dr,Utilities
27-12-2021,Train Ticket,7393.66,Dr,Travel
28-12-2021,Dividend Credit,13781.67,Cr,Income
28-12-2021,Auto Rickshaw,187.62,Dr,Transportation
29-12-2021,Auto Rickshaw,183.98,Dr,Transportation
01-01-2022,Home Nurse Service,15815.95,Dr,Healthcare
02-01-2022,Pension Credit,56021.34,Cr,Income
02-01-2022,Home Nurse Service,17922.23,Dr,Healthcare
02-01-2022,Chemist Medical Store,4792.56,Dr,Healthcare
04-01-2022,LIC Premium,16756.7,Dr,Insurance
05-01-2022,LIC Premium,15198.3,Dr,Insurance
06-01-2022,Milk Subscription,310.25,Dr,Groceries
08-01-2022,Dividend Credit,11509.92,Cr,Income
09-01-2022,Diagnostic Tests,2880.56,Dr,Healthcare
10-01-2022,Vegetable Market,1883.66,Dr,Groceries
10-01-2022,Children Transfer,7221.06,Cr,Income
11-01-2022,Grandchildren's Gift,3947.63,Dr,Shopping
11-01-2022,Post Office Interest,3176.98,Cr,Income
11-01-2022,Pension Credit,22296.44,Cr,Income
12-01-2022,Readymade Garments,1622.93,Dr,Shopping
13-01-2022,Cable TV,409.02,Dr,Subscriptions
13-01-2022,Newspaper Home Delivery,290.34,Dr,Subscriptions
13-01-2022,Newspaper Home Delivery,287.24,Dr,Subscriptions
15-01-2022,Vegetable Market,1995.58,Dr,Groceries
15-01-2022,Diagnostic Tests,4532.85,Dr,Healthcare
15-01-2022,Electricity Bill,542.33,Dr,Utilities
15-01-2022,Home Nurse Service,19749.39,Dr,Healthcare
16-01-2022,Hospital Bill,17329.95,Dr,Healthcare
17-01-2022,Diagnostic Tests,8900.97,Dr,Healthcare
20-01-2022,Milk Subscription,589.49,Dr,Groceries
21-01-2022,Kiryana Store,287.78,Dr,Groceries
22-01-2022,Vegetable Market,1167.88,Dr,Groceries
23-01-2022,Newspaper Home Delivery,286.64,Dr,Subscriptions
24-01-2022,Electricity Bill,2514.23,Dr,Utilities
24-01-2022,Readymade Garments,1361.68,Dr,Shopping
25-01-2022,Chemist Medical Store,4293.74,Dr,Healthcare
25-01-2022,Electricity Bill,501.24,Dr,Utilities
25-01-2022,LIC Premium,6817.01,Dr,Insurance
26-01-2022,Hospital Bill,34008.92,Dr,Healthcare
27-01-2022,Pilgrimage Travel,28223.04,Dr,Travel
28-01-2022,Diagnostic Tests,2288.99,Dr,Healthcare
28-01-2022,Diagnostic Tests,1874.15,Dr,Healthcare
28-01-2022,Train Ticket,1401.49,Dr,Travel
29-01-2022,Cable TV,405.19,Dr,Subscriptions
30-01-2022,Electricity Bill,1367.99,Dr,Utilities
30-01-2022,Train Ticket,5502.49,Dr,Travel
01-02-2022,Newspaper Home Delivery,187.56,Dr,Subscriptions
01-02-2022,Bus Ticket,984.17,Dr,Travel
01-02-2022,Newspaper Home Delivery,254.96,Dr,Subscriptions
01-02-2022,Readymade Garments,2747.08,Dr,Shopping
01-02-2022,Dividend Credit,3898.19,Cr,Income
02-02-2022,Fixed Deposit Interest,8262.13,Cr,Income
02-02-2022,Readymade Garments,1371.7,Dr,Shopping
03-02-2022,Rental Income,24440.82,Cr,Income
03-02-2022,Cable TV,438.94,Dr,Subscriptions
04-02-2022,Milk Subscription,720.51,Dr,Groceries
04-02-2022,Train Ticket,7079.59,Dr,Travel
05-02-2022,Home Nurse Service,10113.7,Dr,Healthcare
05-02-2022,Children Transfer,23032.99,Cr,Income
06-02-2022,Bus Ticket,1612.16,Dr,Travel
07-02-2022,Kiryana Store,650.56,Dr,Groceries
09-02-2022,Cable TV,359.04,Dr,Subscriptions
09-02-2022,Newspaper Home Delivery,170.95,Dr,Subscriptions
09-02-2022,Grandchildren's Gift,4049.11,Dr,Shopping
09-02-2022,Hospital Bill,42174.87,Dr,Healthcare
10-02-2022,Chemist Medical Store,4894.39,Dr,Healthcare
10-02-2022,Home Nurse Service,11531.65,Dr,Healthcare
11-02-2022,Grandchildren's Gift,2784.16,Dr,Shopping
11-02-2022,Newspaper Home Delivery,171.46,Dr,Subscriptions
11-02-2022,Diagnostic Tests,5596.97,Dr,Healthcare
12-02-2022,PPF Withdrawal,12423.96,Cr,Income
13-02-2022,Hospital Bill,20281.66,Dr,Healthcare
14-02-2022,Pilgrimage Travel,25848.48,Dr,Travel
14-02-2022,LIC Premium,12884.88,Dr,Insurance
14-02-2022,Auto Rickshaw,157.9,Dr,Transportation
15-02-2022,Electricity Bill,1981.84,Dr,Utilities
17-02-2022,LIC Premium,18664.85,Dr,Insurance
20-02-2022,Bus Ticket,675.74,Dr,Travel
21-02-2022,Post Office Interest,8054.3,Cr,Income
21-02-2022,Children Transfer,20130.43,Cr,Income
22-02-2022,Kiryana Store,493.67,Dr,Groceries
22-02-2022,Electricity Bill,544.77,Dr,Utilities
23-02-2022,Home Nurse Service,17676.63,Dr,Healthcare
24-02-2022,Newspaper Home Delivery,180.28,Dr,Subscriptions
24-02-2022,Chemist Medical Store,1511.47,Dr,Healthcare
25-02-2022,Pension Credit,56058.28,Cr,Income
26-02-2022,Pilgrimage Travel,4519.85,Dr,Travel
26-02-2022,Kiryana Store,439.3,Dr,Groceries
27-02-2022,Milk Subscription,785.13,Dr,Groceries
27-02-2022,Cable TV,425.57,Dr,Subscriptions
28-02-2022,Chemist Medical Store,550.92,Dr,Healthcare
01-03-2022,Bus Ticket,469.4,Dr,Travel
01-03-2022,Kiryana Store,1180.5,Dr,Groceries
04-03-2022,Cable TV,292.98,Dr,Subscriptions
04-03-2022,Pension Credit,53066.4,Cr,Income
05-03-2022,Bus Ticket,1680.89,Dr,Travel
05-03-2022,Bus Ticket,1477.59,Dr,Travel
05-03-2022,Children Transfer,17493.26,Cr,Income
06-03-2022,Grandchildren's Gift,1914.34,Dr,Shopping
06-03-2022,PPF Withdrawal,34161.12,Cr,Income
08-03-2022,Bus Ticket,1567.0,Dr,Travel
08-03-2022,Milk Subscription,470.87,Dr,Groceries
08-03-2022,LPG Cylinder,913.8,Dr,Utilities
09-03-2022,LIC Premium,8071.05,Dr,Insurance
10-03-2022,Chemist Medical Store,473.67,Dr,Healthcare
12-03-2022,Post Office RD,2149.65,Dr,Insurance
12-03-2022,Cable TV,388.01,Dr,Subscriptions
13-03-2022,Dividend Credit,9231.32,Cr,Income
13-03-2022,Kiryana Store,1477.52,Dr,Groceries
14-03-2022,Post Office RD,3957.94,Dr,Insurance
15-03-2022,Pension Credit,21711.28,Cr,Income
16-03-2022,Dividend Credit,2122.24,Cr,Income
17-03-2022,Post Office Interest,6662.76,Cr,Income
17-03-2022,Rental Income,16129.76,Cr,Income
18-03-2022,Train Ticket,7846.68,Dr,Travel
18-03-2022,Auto Rickshaw,87.29,Dr,Transportation
18-03-2022,Pension Credit,27629.5,Cr,Income
18-03-2022,Cable TV,407.02,Dr,Subscriptions
19-03-2022,Chemist Medical Store,4111.9,Dr,Healthcare
20-03-2022,LIC Premium,4414.25,Dr,Insurance
20-03-2022,Electricity Bill,1675.52,Dr,Utilities
20-03-2022,Train Ticket,6050.05,Dr,Travel
20-03-2022,LPG Cylinder,905.65,Dr,Utilities
21-03-2022,Grandchildren's Gift,4728.8,Dr,Shopping
21-03-2022,Pilgrimage Travel,8152.27,Dr,Travel
21-03-2022,Cable TV,212.73,Dr,Subscriptions
25-03-2022,Readymade Garments,2431.19,Dr,Shopping
27-03-2022,Newspaper Home Delivery,271.07,Dr,Subscriptions
28-03-2022,Auto Rickshaw,286.53,Dr,Transportation
28-03-2022,Bus Ticket,406.55,Dr,Travel
29-03-2022,Chemist Medical Store,4096.94,Dr,Healthcare
29-03-2022,Hospital Bill,29697.78,Dr,Healthcare
31-03-2022,LPG Cylinder,932.37,Dr,Utilities
31-03-2022,Auto Rickshaw,232.9,Dr,Transportation
01-04-2022,Post Office RD,8758.54,Dr,Insurance
01-04-2022,Bus Ticket,1566.46,Dr,Travel
02-04-2022,Pilgrimage Travel,23269.38,Dr,Travel
03-04-2022,LIC Premium,16567.93,Dr,Insurance
03-04-2022,PPF Withdrawal,17809.06,Cr,Income
03-04-2022,Chemist Medical Store,2631.55,Dr,Healthcare
05-04-2022,Temple Donation,1062.31,Dr,Miscellaneous
05-04-2022,Readymade Garments,2063.89,Dr,Shopping
07-04-2022,Temple Donation,3992.7,Dr,Miscellaneous
07-04-2022,Children Transfer,29891.29,Cr,Income
07-04-2022,Rental Income,23058.29,Cr,Income
07-04-2022,Milk Subscription,805.68,Dr,Groceries
08-04-2022,Electricity Bill,2805.86,Dr,Utilities
08-04-2022,Post Office RD,5127.9,Dr,Insurance
09-04-2022,Post Office RD,8168.67,Dr,Insurance
10-04-2022,Home Nurse Service,13234.68,Dr,Healthcare
10-04-2022,Train Ticket,6969.97,Dr,Travel
10-04-2022,Kiryana Store,1471.37,Dr,Groceries
11-04-2022,Dividend Credit,12682.98,Cr,Income
11-04-2022,Vegetable Market,1837.53,Dr,Groceries
11-04-2022,Pilgrimage Travel,15374.02,Dr,Travel
11-04-2022,Chemist Medical Store,1199.57,Dr,Healthcare
12-04-2022,LPG Cylinder,925.19,Dr,Utilities
13-04-2022,Milk Subscription,836.64,Dr,Groceries
14-04-2022,Grandchildren's Gift,1183.32,Dr,Shopping
14-04-2022,Vegetable Market,1610.82,Dr,Groceries
15-04-2022,PPF Withdrawal,27123.72,Cr,Income
16-04-2022,Children Transfer,17709.51,Cr,Income
16-04-2022,Post Office Interest,4785.55,Cr,Income
17-04-2022,Kiryana Store,303.99,Dr,Groceries
18-04-2022,Pilgrimage Travel,23036.88,Dr,Travel
20-04-2022,Grandchildren's Gift,4179.39,Dr,Shopping
20-04-2022,Hospital Bill,48970.91,Dr,Healthcare
22-04-2022,Grandchildren's Gift,902.36,Dr,Shopping
23-04-2022,Temple Donation,1168.32,Dr,Miscellaneous
24-04-2022,PPF Withdrawal,18326.43,Cr,Income
24-04-2022,Grandchildren's Gift,2454.21,Dr,Shopping
24-04-2022,Post Office RD,6845.34,Dr,Insurance
24-04-2022,Pension Credit,36174.53,Cr,Income
24-04-2022,Pilgrimage Travel,9701.05,Dr,Travel
25-04-2022,Home Nurse Service,15637.13,Dr,Healthcare
25-04-2022,Post Office RD,7223.3,Dr,Insurance
26-04-2022,Grandchildren's Gift,3710.01,Dr,Shopping
26-04-2022,Diagnostic Tests,7120.64,Dr,Healthcare
28-04-2022,Temple Donation,3561.19,Dr,Miscellaneous
28-04-2022,Newspaper Home Delivery,226.86,Dr,Subscriptions
28-04-2022,LPG Cylinder,917.13,Dr,Utilities
28-04-2022,Home Nurse Service,6765.05,Dr,Healthcare
28-04-2022,Milk Subscription,564.71,Dr,Groceries
01-05-2022,Pilgrimage Travel,20330.8,Dr,Travel
05-05-2022,Bus Ticket,1781.4,Dr,Travel
05-05-2022,Newspaper Home Delivery,227.03,Dr,Subscriptions
06-05-2022,Hospital Bill,46531.77,Dr,Healthcare
07-05-2022,Vegetable Market,1140.24,Dr,Groceries
11-05-2022,Cable TV,474.45,Dr,Subscriptions
11-05-2022,Pension Credit,43485.29,Cr,Income
12-05-2022,Chemist Medical Store,687.77,Dr,Healthcare
12-05-2022,Bus Ticket,1166.13,Dr,Travel
12-05-2022,Newspaper Home Delivery,157.35,Dr,Subscriptions
13-05-2022,Grandchildren's Gift,2869.71,Dr,Shopping
14-05-2022,Readymade Garments,1556.75,Dr,Shopping
16-05-2022,Auto Rickshaw,268.66,Dr,Transportation
16-05-2022,Auto Rickshaw,124.7,Dr,Transportation
16-05-2022,Train Ticket,635.33,Dr,Travel
16-05-2022,Post Office RD,7132.35,Dr,Insurance
17-05-2022,LPG Cylinder,904.65,Dr,Utilities
17-05-2022,LIC Premium,9620.78,Dr,Insurance
18-05-2022,Diagnostic Tests,5268.84,Dr,Healthcare
20-05-2022,LIC Premium,2732.26,Dr,Insurance
20-05-2022,PPF Withdrawal,32842.23,Cr,Income
21-05-2022,Electricity Bill,1203.69,Dr,Utilities
26-05-2022,Home Nurse Service,6843.37,Dr,Healthcare
27-05-2022,Dividend Credit,8347.73,Cr,Income
29-05-2022,Rental Income,13533.33,Cr,Income
30-05-2022,Bus Ticket,571.3,Dr,Travel
31-05-2022,Rental Income,13378.66,Cr,Income
31-05-2022,PPF Withdrawal,13705.44,Cr,Income
01-06-2022,Auto Rickshaw,77.41,Dr,Transportation
01-06-2022,Pilgrimage Travel,19863.6,Dr,Travel
02-06-2022,Temple Donation,3634.43,Dr,Miscellaneous
02-06-2022,Readymade Garments,507.34,Dr,Shopping
02-06-2022,PPF Withdrawal,11044.01,Cr,Income
04-06-2022,Pension Credit,26318.87,Cr,Income
04-06-2022,Grandchildren's Gift,520.31,Dr,Shopping
04-06-2022,Kiryana Store,712.45,Dr,Groceries
05-06-2022,Children Transfer,21124.42,Cr,Income
06-06-2022,Auto Rickshaw,119.68,Dr,Transportation
07-06-2022,Grandchildren's Gift,2622.74,Dr,Shopping
07-06-2022,Bus Ticket,1511.63,Dr,Travel
07-06-2022,Readymade Garments,2793.21,Dr,Shopping
08-06-2022,Electricity Bill,2348.22,Dr,Utilities
08-06-2022,Auto Rickshaw,132.7,Dr,Transportation
09-06-2022,PPF Withdrawal,41610.82,Cr,Income
09-06-2022,Pilgrimage Travel,25826.66,Dr,Travel
09-06-2022,Readymade Garments,862.01,Dr,Shopping
09-06-2022,Kiryana Store,799.98,Dr,Groceries
10-06-2022,Post Office Interest,5501.39,Cr,Income
10-06-2022,LIC Premium,17390.27,Dr,Insurance
11-06-2022,Diagnostic Tests,8052.2,Dr,Healthcare
11-06-2022,PPF Withdrawal,25978.79,Cr,Income
12-06-2022,PPF Withdrawal,46953.3,Cr,Income
12-06-2022,Hospital Bill,47650.93,Dr,Healthcare
14-06-2022,Grandchildren's Gift,2496.31,Dr,Shopping
14-06-2022,Post Office RD,6487.44,Dr,Insurance
15-06-2022,Grandchildren's Gift,3729.86,Dr,Shopping
15-06-2022,Chemist Medical Store,2711.92,Dr,Healthcare
15-06-2022,Milk Subscription,466.64,Dr,Groceries
16-06-2022,Vegetable Market,419.6,Dr,Groceries
16-06-2022,Grandchildren's Gift,1175.54,Dr,Shopping
18-06-2022,Post Office RD,3130.41,Dr,Insurance
18-06-2022,Chemist Medical Store,4926.73,Dr,Healthcare
18-06-2022,Dividend Credit,2238.27,Cr,Income
19-06-2022,Children Transfer,27240.15,Cr,Income
19-06-2022,Pilgrimage Travel,14924.02,Dr,Travel
20-06-2022,Grandchildren's Gift,4672.73,Dr,Shopping
20-06-2022,Grandchildren's Gift,2322.78,Dr,Shopping
20-06-2022,Electricity Bill,1225.91,Dr,Utilities
21-06-2022,Home Nurse Service,11608.68,Dr,Healthcare
21-06-2022,Electricity Bill,1774.63,Dr,Utilities
21-06-2022,Bus Ticket,1057.13,Dr,Travel
23-06-2022,Diagnostic Tests,4811.18,Dr,Healthcare
23-06-2022,Pilgrimage Travel,11103.86,Dr,Travel
24-06-2022,Pension Credit,57991.21,Cr,Income
25-06-2022,Auto Rickshaw,251.54,Dr,Transportation
25-06-2022,Hospital Bill,40206.23,Dr,Healthcare
26-06-2022,Vegetable Market,863.71,Dr,Groceries
27-06-2022,Chemist Medical Store,1873.56,Dr,Healthcare
28-06-2022,Kiryana Store,813.44,Dr,Groceries
29-06-2022,Pension Credit,29386.75,Cr,Income
29-06-2022,Train Ticket,2444.88,Dr,Travel
30-06-2022,Chemist Medical Store,3601.83,Dr,Healthcare
01-07-2022,Cable TV,305.49,Dr,Subscriptions
01-07-2022,Bus Ticket,822.53,Dr,Travel
02-07-2022,Bus Ticket,1042.35,Dr,Travel
02-07-2022,Post Office RD,5838.0,Dr,Insurance
04-07-2022,LIC Premium,2740.44,Dr,Insurance
05-07-2022,Auto Rickshaw,279.13,Dr,Transportation
06-07-2022,Temple Donation,1022.32,Dr,Miscellaneous
08-07-2022,Kiryana Store,1361.73,Dr,Groceries
09-07-2022,Newspaper Home Delivery,279.83,Dr,Subscriptions
09-07-2022,Fixed Deposit Interest,21227.47,Cr,Income
10-07-2022,Vegetable Market,623.73,Dr,Groceries
10-07-2022,Chemist Medical Store,2000.18,Dr,Healthcare
10-07-2022,LIC Premium,19209.93,Dr,Insurance
11-07-2022,Grandchildren's Gift,3522.17,Dr,Shopping
11-07-2022,Vegetable Market,1235.28,Dr,Groceries
12-07-2022,Newspaper Home Delivery,296.34,Dr,Subscriptions
15-07-2022,Dividend Credit,5779.99,Cr,Income
16-07-2022,LPG Cylinder,944.64,Dr,Utilities
16-07-2022,LIC Premium,8447.39,Dr,Insurance
16-07-2022,Auto Rickshaw,229.91,Dr,Transportation
18-07-2022,Temple Donation,4006.89,Dr,Miscellaneous
18-07-2022,Grandchildren's Gift,3424.6,Dr,Shopping
19-07-2022,Fixed Deposit Interest,21803.12,Cr,Income
19-07-2022,Post Office Interest,8981.5,Cr,Income
20-07-2022,Train Ticket,1523.13,Dr,Travel
21-07-2022,Readymade Garments,1062.27,Dr,Shopping
21-07-2022,Vegetable Market,872.16,Dr,Groceries
23-07-2022,Grandchildren's Gift,1255.23,Dr,Shopping
23-07-2022,Grandchildren's Gift,573.66,Dr,Shopping
23-07-2022,Pension Credit,29801.84,Cr,Income
24-07-2022,Grandchildren's Gift,4131.76,Dr,Shopping
24-07-2022,Hospital Bill,31057.63,Dr,Healthcare
27-07-2022,Diagnostic Tests,4642.47,Dr,Healthcare
27-07-2022,Diagnostic Tests,7300.41,Dr,Healthcare
27-07-2022,Electricity Bill,1971.24,Dr,Utilities
27-07-2022,Bus Ticket,772.04,Dr,Travel
27-07-2022,Kiryana Store,371.74,Dr,Groceries
28-07-2022,Children Transfer,29902.66,Cr,Income
29-07-2022,Bus Ticket,419.26,Dr,Travel
30-07-2022,Readymade Garments,2533.25,Dr,Shopping
30-07-2022,Readymade Garments,691.95,Dr,Shopping
30-07-2022,Newspaper Home Delivery,166.18,Dr,Subscriptions
31-07-2022,Train Ticket,3433.82,Dr,Travel
01-08-2022,Electricity Bill,2267.3,Dr,Utilities
01-08-2022,Train Ticket,7073.99,Dr,Travel
01-08-2022,Train Ticket,3077.9,Dr,Travel
02-08-2022,Bus Ticket,607.39,Dr,Travel
03-08-2022,Rental Income,22759.85,Cr,Income
04-08-2022,Vegetable Market,1476.47,Dr,Groceries
05-08-2022,Kiryana Store,631.63,Dr,Groceries
05-08-2022,Bus Ticket,513.2,Dr,Travel
06-08-2022,Chemist Medical Store,1379.72,Dr,Healthcare
06-08-2022,LPG Cylinder,949.68,Dr,Utilities
08-08-2022,Hospital Bill,17347.39,Dr,Healthcare
08-08-2022,Newspaper Home Delivery,294.75,Dr,Subscriptions
08-08-2022,Temple Donation,3995.2,Dr,Miscellaneous
08-08-2022,Home Nurse Service,16107.22,Dr,Healthcare
09-08-2022,Fixed Deposit Interest,23582.91,Cr,Income
09-08-2022,Bus Ticket,1537.51,Dr,Travel
12-08-2022,Milk Subscription,803.66,Dr,Groceries
12-08-2022,Pilgrimage Travel,15418.98,Dr,Travel
13-08-2022,Pilgrimage Travel,22567.6,Dr,Travel
14-08-2022,Chemist Medical Store,3117.94,Dr,Healthcare
14-08-2022,Readymade Garments,1750.02,Dr,Shopping
15-08-2022,LPG Cylinder,949.59,Dr,Utilities
16-08-2022,Temple Donation,945.27,Dr,Miscellaneous
17-08-2022,Post Office RD,5350.41,Dr,Insurance
17-08-2022,Bus Ticket,551.0,Dr,Travel
19-08-2022,Train Ticket,4056.49,Dr,Travel
20-08-2022,Chemist Medical Store,321.67,Dr,Healthcare
20-08-2022,Chemist Medical Store,542.01,Dr,Healthcare
20-08-2022,Vegetable Market,1140.14,Dr,Groceries
20-08-2022,Post Office Interest,3516.84,Cr,Income
21-08-2022,Kiryana Store,604.62,Dr,Groceries
21-08-2022,Diagnostic Tests,6848.22,Dr,Healthcare
21-08-2022,Train Ticket,6555.37,Dr,Travel
21-08-2022,Fixed Deposit Interest,18011.8,Cr,Income
21-08-2022,Post Office Interest,7779.04,Cr,Income
23-08-2022,Temple Donation,211.29,Dr,Miscellaneous
24-08-2022,Dividend Credit,10431.11,Cr,Income
25-08-2022,Readymade Garments,790.78,Dr,Shopping
26-08-2022,Children Transfer,29052.76,Cr,Income
26-08-2022,Electricity Bill,552.56,Dr,Utilities
27-08-2022,Bus Ticket,1160.16,Dr,Travel
27-08-2022,Fixed Deposit Interest,27155.57,Cr,Income
27-08-2022,LPG Cylinder,926.06,Dr,Utilities
29-08-2022,Post Office RD,7644.75,Dr,Insurance
30-08-2022,Auto Rickshaw,92.16,Dr,Transportation
31-08-2022,Vegetable Market,633.02,Dr,Groceries
31-08-2022,Auto Rickshaw,224.99,Dr,Transportation
01-09-2022,LIC Premium,11907.03,Dr,Insurance
02-09-2022,Home Nurse Service,5551.74,Dr,Healthcare
03-09-2022,Electricity Bill,886.93,Dr,Utilities
03-09-2022,LPG Cylinder,921.33,Dr,Utilities
04-09-2022,Home Nurse Service,6157.13,Dr,Healthcare
04-09-2022,Dividend Credit,10224.24,Cr,Income
04-09-2022,Milk Subscription,793.53,Dr,Groceries
05-09-2022,Auto Rickshaw,127.47,Dr,Transportation
07-09-2022,Fixed Deposit Interest,28807.82,Cr,Income
08-09-2022,Newspaper Home Delivery,201.21,Dr,Subscriptions
09-09-2022,Cable TV,491.28,Dr,Subscriptions
09-09-2022,Dividend Credit,8664.11,Cr,Income
12-09-2022,Cable TV,375.81,Dr,Subscriptions
12-09-2022,Home Nurse Service,7697.98,Dr,Healthcare
13-09-2022,Pilgrimage Travel,9877.2,Dr,Travel
13-09-2022,Kiryana Store,461.46,Dr,Groceries
14-09-2022,Milk Subscription,364.64,Dr,Groceries
14-09-2022,Post Office RD,3373.57,Dr,Insurance
15-09-2022,Vegetable Market,1643.08,Dr,Groceries
16-09-2022,Vegetable Market,981.14,Dr,Groceries
16-09-2022,Auto Rickshaw,135.0,Dr,Transportation
16-09-2022,Hospital Bill,20527.0,Dr,Healthcare
17-09-2022,Chemist Medical Store,1055.15,Dr,Healthcare
17-09-2022,Chemist Medical Store,1005.58,Dr,Healthcare
17-09-2022,Grandchildren's Gift,4330.28,Dr,Shopping
20-09-2022,LIC Premium,6757.72,Dr,Insurance
20-09-2022,Newspaper Home Delivery,214.45,Dr,Subscriptions
20-09-2022,LIC Premium,11928.96,Dr,Insurance
21-09-2022,Milk Subscription,498.21,Dr,Groceries
22-09-2022,Diagnostic Tests,2100.75,Dr,Healthcare
22-09-2022,Kiryana Store,629.46,Dr,Groceries
22-09-2022,PPF Withdrawal,15267.51,Cr,Income
22-09-2022,Diagnostic Tests,3906.01,Dr,Healthcare
23-09-2022,Readymade Garments,921.64,Dr,Shopping
24-09-2022,Chemist Medical Store,4467.47,Dr,Healthcare
25-09-2022,Temple Donation,3550.99,Dr,Miscellaneous
25-09-2022,Diagnostic Tests,9353.5,Dr,Healthcare
25-09-2022,Grandchildren's Gift,1255.67,Dr,Shopping
27-09-2022,Home Nurse Service,6384.49,Dr,Healthcare
27-09-2022,Chemist Medical Store,1985.71,Dr,Healthcare
28-09-2022,Cable TV,354.12,Dr,Subscriptions
28-09-2022,Diagnostic Tests,9780.82,Dr,Healthcare
28-09-2022,Grandchildren's Gift,1484.22,Dr,Shopping
29-09-2022,Post Office Interest,7921.89,Cr,Income
30-09-2022,Train Ticket,7230.23,Dr,Travel
01-10-2022,Temple Donation,1774.74,Dr,Miscellaneous
01-10-2022,Kiryana Store,1052.03,Dr,Groceries
02-10-2022,Grandchildren's Gift,3032.41,Dr,Shopping
02-10-2022,Post Office RD,5428.19,Dr,Insurance
03-10-2022,LPG Cylinder,905.56,Dr,Utilities
03-10-2022,Milk Subscription,326.18,Dr,Groceries
05-10-2022,Diagnostic Tests,8717.88,Dr,Healthcare
05-10-2022,Cable TV,449.58,Dr,Subscriptions
07-10-2022,Vegetable Market,548.5,Dr,Groceries
07-10-2022,Pilgrimage Travel,10792.0,Dr,Travel
08-10-2022,Hospital Bill,39117.22,Dr,Healthcare
08-10-2022,Bus Ticket,1272.68,Dr,Travel
09-10-2022,Home Nurse Service,18627.71,Dr,Healthcare
10-10-2022,Diagnostic Tests,1768.16,Dr,Healthcare
10-10-2022,Diagnostic Tests,1169.93,Dr,Healthcare
12-10-2022,Cable TV,404.39,Dr,Subscriptions
12-10-2022,Diagnostic Tests,5425.69,Dr,Healthcare
13-10-2022,Grandchildren's Gift,1653.59,Dr,Shopping
14-10-2022,Pilgrimage Travel,21308.65,Dr,Travel
15-10-2022,Electricity Bill,1992.55,Dr,Utilities
16-10-2022,Train Ticket,1450.73,Dr,Travel
17-10-2022,Auto Rickshaw,256.41,Dr,Transportation
18-10-2022,Electricity Bill,2160.37,Dr,Utilities
18-10-2022,Hospital Bill,31753.98,Dr,Healthcare
20-10-2022,Kiryana Store,837.82,Dr,Groceries
21-10-2022,LIC Premium,17861.0,Dr,Insurance
22-10-2022,Electricity Bill,1218.48,Dr,Utilities
22-10-2022,Vegetable Market,1671.49,Dr,Groceries
23-10-2022,Readymade Garments,2007.01,Dr,Shopping
24-10-2022,Pension Credit,34221.51,Cr,Income
24-10-2022,Train Ticket,3751.3,Dr,Travel
25-10-2022,Grandchildren's Gift,2588.98,Dr,Shopping
25-10-2022,Train Ticket,5596.41,Dr,Travel
26-10-2022,Home Nurse Service,5317.14,Dr,Healthcare
28-10-2022,Auto Rickshaw,256.54,Dr,Transportation
29-10-2022,Chemist Medical Store,2885.42,Dr,Healthcare
29-10-2022,Cable TV,441.4,Dr,Subscriptions
29-10-2022,Hospital Bill,10779.25,Dr,Healthcare
30-10-2022,Pension Credit,26379.35,Cr,Income
30-10-2022,Grandchildren's Gift,796.03,Dr,Shopping
30-10-2022,Rental Income,8103.57,Cr,Income
30-10-2022,Auto Rickshaw,178.71,Dr,Transportation
30-10-2022,Train Ticket,1902.54,Dr,Travel
31-10-2022,Newspaper Home Delivery,205.56,Dr,Subscriptions
01-11-2022,Chemist Medical Store,2551.4,Dr,Healthcare
