Transaction Date,Description,Net Amount,Type,Spending Category
09-12-2023,Uber Ride,138.54,Expense,Transportation
09-13-2023,BookMyShow Tickets,1271.64,Expense,Entertainment
09-14-2023,PVR Cinemas,297.71,Expense,Entertainment
09-15-2023,BookMyShow Tickets,1166.26,Expense,Entertainment
09-15-2023,Apollo Pharmacy,1255.34,Expense,Healthcare
09-16-2023,Salary Credit,70032.04,Income,Income
09-17-2023,Hotstar Subscription,536.05,Expense,Subscriptions
09-19-2023,UPI Received,8971.57,Income,Income
09-19-2023,Airtel Mobile Bill,337.01,Expense,Utilities
09-19-2023,Amazon Prime,411.8,Expense,Subscriptions
09-20-2023,Hair Salon,1423.32,Expense,Personal Care
09-20-2023,Online Course,2483.79,Expense,Education
09-20-2023,Hotel Stay,6395.67,Expense,Travel
09-21-2023,Interest Credit,2616.91,Income,Income
09-21-2023,Netflix Subscription,516.6,Expense,Subscriptions
09-21-2023,Ajio Clothing,2942.68,Expense,Shopping
09-22-2023,Amazon Purchase,743.86,Expense,Shopping
09-22-2023,Book Purchase,766.63,Expense,Education
09-23-2023,BigBasket Groceries,3197.32,Expense,Groceries
09-23-2023,Meesho Order,1731.54,Expense,Shopping
09-24-2023,Zomato Food Delivery,200.83,Expense,Food & Dining
09-24-2023,BookMyShow Tickets,640.52,Expense,Entertainment
09-25-2023,Hotel Stay,9043.06,Expense,Travel
09-25-2023,Amazon Prime,480.46,Expense,Subscriptions
09-25-2023,Book Purchase,1175.15,Expense,Education
09-25-2023,Apollo Pharmacy,1516.46,Expense,Healthcare
09-26-2023,Zomato Food Delivery,300.52,Expense,Food & Dining
09-26-2023,Gaming Recharge,1805.43,Expense,Entertainment
09-26-2023,Petrol / Diesel,2295.04,Expense,Transportation
09-26-2023,Hotstar Subscription,168.43,Expense,Subscriptions
09-27-2023,Hotel Stay,2467.09,Expense,Travel
09-27-2023,Netflix Subscription,487.8,Expense,Subscriptions
09-27-2023,Freelance Payment,7487.77,Income,Income
09-27-2023,Flipkart Order,2639.22,Expense,Shopping
09-28-2023,Zomato Food Delivery,641.63,Expense,Food & Dining
09-29-2023,Metro Card Recharge,853.53,Expense,Transportation
09-29-2023,Electricity Bill,4111.18,Expense,Utilities
09-30-2023,Amazon Prime,459.72,Expense,Subscriptions
09-30-2023,Gaming Recharge,1903.86,Expense,Entertainment
10-01-2023,Maintenance Charges,982.86,Expense,Housing
10-01-2023,Flipkart Order,3959.43,Expense,Shopping
10-02-2023,PVR Cinemas,597.76,Expense,Entertainment
10-03-2023,School Fees,3519.4,Expense,Education
10-03-2023,Myntra Fashion,3344.56,Expense,Shopping
10-03-2023,Cashback Credit,925.13,Income,Income
10-04-2023,Spotify Premium,119.0,Expense,Subscriptions
10-04-2023,More Supermarket,1635.45,Expense,Groceries
10-04-2023,Meesho Order,280.38,Expense,Shopping
10-05-2023,Spotify Premium,119.0,Expense,Subscriptions
10-05-2023,Ola Cab,464.01,Expense,Transportation
10-05-2023,Bonus Credit,26319.49,Income,Income
10-06-2023,BigBasket Groceries,2071.66,Expense,Groceries
10-06-2023,Petrol / Diesel,1950.69,Expense,Transportation
10-06-2023,Salary Credit,70633.34,Income,Income
10-06-2023,Newspaper Subscription,163.83,Expense,Subscriptions
10-07-2023,Doctor Consultation,1037.63,Expense,Healthcare
10-07-2023,Metro Card Recharge,679.09,Expense,Transportation
10-07-2023,Newspaper Subscription,261.25,Expense,Subscriptions
10-07-2023,Insurance Premium,9438.43,Expense,Insurance
10-08-2023,Flipkart Order,2026.34,Expense,Shopping
10-10-2023,Doctor Consultation,635.63,Expense,Healthcare
10-11-2023,Metro Card Recharge,645.38,Expense,Transportation
10-11-2023,School Fees,8776.27,Expense,Education
10-11-2023,Rental Income,19085.15,Income,Income
10-12-2023,Swiggy Order,109.56,Expense,Food & Dining
10-12-2023,BigBasket Groceries,2006.8,Expense,Groceries
10-15-2023,Zomato Food Delivery,613.4,Expense,Food & Dining
10-15-2023,DMart Purchase,2449.41,Expense,Groceries
10-16-2023,Ola Cab,256.32,Expense,Transportation
10-17-2023,Electricity Bill,2767.23,Expense,Utilities
10-17-2023,Flipkart Order,2773.59,Expense,Shopping
10-17-2023,Airtel Mobile Bill,411.8,Expense,Utilities
10-18-2023,Newspaper Subscription,184.29,Expense,Subscriptions
10-19-2023,YouTube Premium,139.0,Expense,Subscriptions
10-21-2023,PVR Cinemas,446.52,Expense,Entertainment
10-21-2023,YouTube Premium,139.0,Expense,Subscriptions
10-21-2023,Airtel Mobile Bill,619.8,Expense,Utilities
10-21-2023,UPI Received,2877.17,Income,Income
10-22-2023,Rapido Bike Taxi,56.45,Expense,Transportation
10-22-2023,Interest Credit,1586.69,Income,Income
10-22-2023,School Fees,6424.53,Expense,Education
10-22-2023,Interest Credit,2110.42,Income,Income
10-23-2023,Spotify Premium,119.0,Expense,Subscriptions
10-23-2023,Transfer Received,24874.27,Income,Income
10-23-2023,Gaming Recharge,484.08,Expense,Entertainment
10-24-2023,Water Bill,746.22,Expense,Utilities
10-24-2023,PVR Cinemas,430.09,Expense,Entertainment
10-25-2023,YouTube Premium,139.0,Expense,Subscriptions
10-25-2023,Maintenance Charges,2331.61,Expense,Housing
10-26-2023,Gym Membership,1539.89,Expense,Healthcare
10-26-2023,Cashback Credit,771.5,Income,Income
10-26-2023,Swiggy Order,676.08,Expense,Food & Dining
10-26-2023,YouTube Premium,139.0,Expense,Subscriptions
10-28-2023,Gym Membership,773.39,Expense,Healthcare
10-28-2023,Electricity Bill,2321.82,Expense,Utilities
10-30-2023,Amazon Purchase,4848.61,Expense,Shopping
10-30-2023,Flipkart Order,2570.35,Expense,Shopping
11-01-2023,Doctor Consultation,1645.59,Expense,Healthcare
11-01-2023,Airtel Mobile Bill,327.86,Expense,Utilities
11-02-2023,Uber Ride,353.06,Expense,Transportation
11-02-2023,Water Bill,661.36,Expense,Utilities
11-02-2023,Apollo Pharmacy,1536.35,Expense,Healthcare
11-03-2023,Insurance Premium,1639.11,Expense,Insurance
11-03-2023,School Fees,9278.62,Expense,Education
11-04-2023,BigBasket Groceries,885.59,Expense,Groceries
11-04-2023,Hair Salon,1379.46,Expense,Personal Care
11-04-2023,DMart Purchase,1964.3,Expense,Groceries
11-05-2023,Freelance Payment,9565.88,Income,Income
11-06-2023,Dividend Credit,5337.83,Income,Income
11-07-2023,Spa Treatment,689.15,Expense,Personal Care
11-08-2023,Flipkart Order,2420.69,Expense,Shopping
11-08-2023,BookMyShow Tickets,1345.97,Expense,Entertainment
11-08-2023,Ajio Clothing,3189.26,Expense,Shopping
11-09-2023,YouTube Premium,139.0,Expense,Subscriptions
11-09-2023,Spa Treatment,2864.79,Expense,Personal Care
11-09-2023,Restaurant Dinner,1719.31,Expense,Food & Dining
11-09-2023,DMart Purchase,1424.98,Expense,Groceries
11-09-2023,Jio Recharge,347.83,Expense,Utilities
11-09-2023,Book Purchase,652.38,Expense,Education
11-11-2023,Airtel Mobile Bill,496.58,Expense,Utilities
11-12-2023,Restaurant Dinner,425.89,Expense,Food & Dining
11-13-2023,Doctor Consultation,977.46,Expense,Healthcare
11-13-2023,Netflix Subscription,365.11,Expense,Subscriptions
11-13-2023,Restaurant Dinner,451.5,Expense,Food & Dining
11-14-2023,Hair Salon,787.57,Expense,Personal Care
11-14-2023,Zomato Food Delivery,519.06,Expense,Food & Dining
11-15-2023,Parking Charges,244.12,Expense,Transportation
11-15-2023,UPI Received,7256.27,Income,Income
11-15-2023,Gaming Recharge,145.48,Expense,Entertainment
11-16-2023,Petrol / Diesel,1629.7,Expense,Transportation
11-16-2023,Rapido Bike Taxi,161.71,Expense,Transportation
11-17-2023,Swiggy Order,391.18,Expense,Food & Dining
11-17-2023,Hotel Stay,5722.76,Expense,Travel
11-18-2023,Travel Booking,13606.11,Expense,Travel
11-19-2023,Rental Income,14663.19,Income,Income
11-20-2023,Zomato Food Delivery,519.61,Expense,Food & Dining
11-21-2023,Hair Salon,1014.94,Expense,Personal Care
11-22-2023,PVR Cinemas,311.69,Expense,Entertainment
11-22-2023,BookMyShow Tickets,567.59,Expense,Entertainment
11-22-2023,House Rent,8474.36,Expense,Housing
11-22-2023,ATM Withdrawal,1668.71,Expense,Miscellaneous
11-23-2023,Metro Card Recharge,657.04,Expense,Transportation
11-23-2023,Insurance Premium,4154.8,Expense,Insurance
11-23-2023,Uber Ride,310.04,Expense,Transportation
11-23-2023,Salary Credit,101663.14,Income,Income
11-23-2023,Book Purchase,1210.96,Expense,Education
11-24-2023,Online Course,3895.71,Expense,Education
11-25-2023,Water Bill,628.88,Expense,Utilities
11-25-2023,Hotstar Subscription,631.98,Expense,Subscriptions
11-25-2023,Rental Income,13203.31,Income,Income
11-25-2023,Insurance Premium,9520.45,Expense,Insurance
11-26-2023,Transfer Received,30657.57,Income,Income
11-27-2023,Jio Recharge,521.3,Expense,Utilities
11-27-2023,Rental Income,22711.51,Income,Income
11-28-2023,Swiggy Order,878.95,Expense,Food & Dining
11-30-2023,Parking Charges,114.76,Expense,Transportation
12-01-2023,Rapido Bike Taxi,108.72,Expense,Transportation
12-01-2023,Rental Income,15268.04,Income,Income
12-02-2023,Ola Cab,262.15,Expense,Transportation
12-02-2023,Hotel Stay,5748.11,Expense,Travel
12-02-2023,Airtel Mobile Bill,798.18,Expense,Utilities
12-02-2023,Newspaper Subscription,266.6,Expense,Subscriptions
12-02-2023,Apollo Pharmacy,1385.78,Expense,Healthcare
12-03-2023,Hotstar Subscription,547.45,Expense,Subscriptions
12-03-2023,Uber Ride,415.89,Expense,Transportation
12-04-2023,YouTube Premium,139.0,Expense,Subscriptions
12-05-2023,UPI Received,5610.54,Income,Income
12-05-2023,Salary Credit,72894.34,Income,Income
12-05-2023,Gaming Recharge,1132.93,Expense,Entertainment
12-07-2023,Ola Cab,438.35,Expense,Transportation
12-07-2023,House Rent,19947.82,Expense,Housing
12-07-2023,Cashback Credit,825.91,Income,Income
12-07-2023,Ajio Clothing,3035.52,Expense,Shopping
12-08-2023,1mg Medicine Order,1297.88,Expense,Healthcare
12-10-2023,Hotstar Subscription,249.14,Expense,Subscriptions
12-11-2023,YouTube Premium,139.0,Expense,Subscriptions
12-11-2023,Cashback Credit,210.72,Income,Income
12-11-2023,Petrol / Diesel,3192.85,Expense,Transportation
12-13-2023,More Supermarket,660.9,Expense,Groceries
12-14-2023,Hair Salon,247.45,Expense,Personal Care
12-14-2023,Gym Membership,890.42,Expense,Healthcare
12-15-2023,Ajio Clothing,1603.94,Expense,Shopping
12-15-2023,Meesho Order,1946.62,Expense,Shopping
12-15-2023,Uber Ride,141.99,Expense,Transportation
12-16-2023,Ajio Clothing,2548.83,Expense,Shopping
12-16-2023,Gaming Recharge,1549.77,Expense,Entertainment
12-16-2023,Salary Credit,77836.75,Income,Income
12-17-2023,Bonus Credit,20183.51,Income,Income
12-18-2023,DMart Purchase,3432.9,Expense,Groceries
12-20-2023,BigBasket Groceries,1213.84,Expense,Groceries
12-20-2023,Bonus Credit,45204.56,Income,Income
12-21-2023,Jio Recharge,583.46,Expense,Utilities
12-22-2023,Meesho Order,1363.56,Expense,Shopping
12-22-2023,UPI Received,3761.5,Income,Income
12-22-2023,More Supermarket,1573.87,Expense,Groceries
12-22-2023,Spa Treatment,2032.44,Expense,Personal Care
12-22-2023,Reliance Fresh,861.63,Expense,Groceries
12-22-2023,Spotify Premium,119.0,Expense,Subscriptions
12-23-2023,Flipkart Order,554.29,Expense,Shopping
12-23-2023,Flipkart Order,4847.11,Expense,Shopping
12-23-2023,Book Purchase,1082.1,Expense,Education
12-25-2023,DMart Purchase,3439.36,Expense,Groceries
12-25-2023,Flipkart Order,4769.57,Expense,Shopping
12-27-2023,PVR Cinemas,509.03,Expense,Entertainment
12-28-2023,Parking Charges,146.84,Expense,Transportation
12-28-2023,Myntra Fashion,2290.75,Expense,Shopping
12-28-2023,Flipkart Order,5492.38,Expense,Shopping
12-29-2023,Gaming Recharge,1450.75,Expense,Entertainment
12-29-2023,Refund Credit,4815.45,Income,Income
12-29-2023,Rental Income,10717.08,Income,Income
12-29-2023,Electricity Bill,3408.13,Expense,Utilities
12-30-2023,Online Course,1930.5,Expense,Education
12-30-2023,Amazon Purchase,5392.09,Expense,Shopping
12-30-2023,BookMyShow Tickets,1049.18,Expense,Entertainment
12-31-2023,Flipkart Order,3303.65,Expense,Shopping
12-31-2023,Airtel Mobile Bill,757.29,Expense,Utilities
12-31-2023,Hotel Stay,1754.1,Expense,Travel
12-31-2023,Freelance Payment,9103.61,Income,Income
12-31-2023,Zomato Food Delivery,636.12,Expense,Food & Dining
12-31-2023,Uber Ride,400.87,Expense,Transportation
01-01-2024,Doctor Consultation,852.05,Expense,Healthcare
01-01-2024,BigBasket Groceries,2895.86,Expense,Groceries
01-01-2024,Meesho Order,1744.46,Expense,Shopping
01-02-2024,Amazon Purchase,5257.61,Expense,Shopping
01-02-2024,Flipkart Order,1555.51,Expense,Shopping
01-02-2024,BigBasket Groceries,3545.89,Expense,Groceries
01-03-2024,Ola Cab,395.17,Expense,Transportation
01-03-2024,Dividend Credit,2839.88,Income,Income
01-04-2024,Salary Credit,72777.48,Income,Income
01-05-2024,Hair Salon,426.28,Expense,Personal Care
01-05-2024,Uber Ride,239.71,Expense,Transportation
01-05-2024,BookMyShow Tickets,1006.13,Expense,Entertainment
01-05-2024,YouTube Premium,139.0,Expense,Subscriptions
01-05-2024,Swiggy Order,759.45,Expense,Food & Dining
01-06-2024,Freelance Payment,23860.69,Income,Income
01-07-2024,House Rent,29769.42,Expense,Housing
01-07-2024,Hotstar Subscription,343.05,Expense,Subscriptions
01-07-2024,PVR Cinemas,481.14,Expense,Entertainment
01-08-2024,Myntra Fashion,1256.39,Expense,Shopping
01-08-2024,BigBasket Groceries,1182.73,Expense,Groceries
01-08-2024,Petrol / Diesel,768.64,Expense,Transportation
01-09-2024,ATM Withdrawal,1849.6,Expense,Miscellaneous
01-09-2024,Apollo Pharmacy,1490.89,Expense,Healthcare
01-09-2024,Hotel Stay,3454.88,Expense,Travel
01-10-2024,Online Course,4174.89,Expense,Education
01-10-2024,Doctor Consultation,1964.53,Expense,Healthcare
01-10-2024,BookMyShow Tickets,251.59,Expense,Entertainment
01-10-2024,Rental Income,8024.97,Income,Income
01-11-2024,Refund Credit,3048.44,Income,Income
01-11-2024,Maintenance Charges,1452.13,Expense,Housing
01-11-2024,Spa Treatment,2238.08,Expense,Personal Care
01-11-2024,Hair Salon,204.98,Expense,Personal Care
01-12-2024,Book Purchase,924.75,Expense,Education
01-13-2024,1mg Medicine Order,1236.61,Expense,Healthcare
01-15-2024,Uber Ride,422.5,Expense,Transportation
01-15-2024,Spa Treatment,2053.16,Expense,Personal Care
01-16-2024,Spa Treatment,2361.88,Expense,Personal Care
01-16-2024,Reliance Fresh,1416.19,Expense,Groceries
01-17-2024,Jio Recharge,410.47,Expense,Utilities
01-18-2024,Salary Credit,71269.7,Income,Income
01-18-2024,Hotstar Subscription,257.39,Expense,Subscriptions
01-19-2024,Swiggy Order,578.65,Expense,Food & Dining
01-19-2024,Metro Card Recharge,261.84,Expense,Transportation
01-19-2024,Apollo Pharmacy,1404.21,Expense,Healthcare
01-21-2024,Coffee Shop,245.39,Expense,Food & Dining
01-22-2024,Spotify Premium,119.0,Expense,Subscriptions
01-22-2024,House Rent,18736.35,Expense,Housing
01-24-2024,Amazon Purchase,5703.99,Expense,Shopping
01-25-2024,Gaming Recharge,1328.39,Expense,Entertainment
01-25-2024,Online Course,2019.59,Expense,Education
01-25-2024,Apollo Pharmacy,307.59,Expense,Healthcare
01-25-2024,Newspaper Subscription,128.3,Expense,Subscriptions
01-25-2024,YouTube Premium,139.0,Expense,Subscriptions
01-26-2024,House Rent,24585.66,Expense,Housing
01-27-2024,Netflix Subscription,211.7,Expense,Subscriptions
01-27-2024,DMart Purchase,714.59,Expense,Groceries
01-27-2024,Interest Credit,1543.97,Income,Income
01-27-2024,Spotify Premium,119.0,Expense,Subscriptions
01-28-2024,Book Purchase,613.25,Expense,Education
01-28-2024,Cashback Credit,289.49,Income,Income
01-29-2024,Gaming Recharge,1074.67,Expense,Entertainment
01-29-2024,Petrol / Diesel,1208.11,Expense,Transportation
01-30-2024,Doctor Consultation,1191.61,Expense,Healthcare
01-30-2024,Interest Credit,2866.74,Income,Income
01-31-2024,Hotstar Subscription,651.35,Expense,Subscriptions
01-31-2024,Rapido Bike Taxi,50.43,Expense,Transportation
01-31-2024,Gaming Recharge,1580.95,Expense,Entertainment
01-31-2024,Parking Charges,88.87,Expense,Transportation
01-31-2024,Online Course,3551.45,Expense,Education
02-01-2024,1mg Medicine Order,427.61,Expense,Healthcare
02-02-2024,PVR Cinemas,466.95,Expense,Entertainment
02-03-2024,Cashback Credit,502.01,Income,Income
02-03-2024,Petrol / Diesel,590.09,Expense,Transportation
02-03-2024,Online Course,754.95,Expense,Education
02-03-2024,Dividend Credit,2451.81,Income,Income
02-05-2024,Salary Credit,69059.55,Income,Income
02-05-2024,Apollo Pharmacy,1478.42,Expense,Healthcare
02-06-2024,Electricity Bill,2507.77,Expense,Utilities
02-07-2024,Water Bill,357.47,Expense,Utilities
02-07-2024,Salary Credit,84114.03,Income,Income
02-07-2024,Spa Treatment,2657.28,Expense,Personal Care
02-08-2024,Netflix Subscription,361.58,Expense,Subscriptions
02-08-2024,BigBasket Groceries,3196.33,Expense,Groceries
02-08-2024,Newspaper Subscription,125.78,Expense,Subscriptions
02-08-2024,Petrol / Diesel,1797.65,Expense,Transportation
02-08-2024,Meesho Order,1498.61,Expense,Shopping
02-09-2024,Spotify Premium,119.0,Expense,Subscriptions
02-09-2024,Refund Credit,983.28,Income,Income
02-10-2024,YouTube Premium,139.0,Expense,Subscriptions
02-11-2024,Interest Credit,1859.03,Income,Income
02-11-2024,More Supermarket,1307.06,Expense,Groceries
02-11-2024,Coffee Shop,114.86,Expense,Food & Dining
02-11-2024,Rental Income,13851.3,Income,Income
02-11-2024,Petrol / Diesel,2416.92,Expense,Transportation
02-12-2024,Water Bill,688.13,Expense,Utilities
02-13-2024,ATM Withdrawal,2129.86,Expense,Miscellaneous
02-13-2024,Freelance Payment,6607.22,Income,Income
02-14-2024,Freelance Payment,6157.63,Income,Income
02-14-2024,Ola Cab,286.78,Expense,Transportation
02-14-2024,Spotify Premium,119.0,Expense,Subscriptions
02-14-2024,Doctor Consultation,554.8,Expense,Healthcare
02-15-2024,Cashback Credit,65.85,Income,Income
02-16-2024,Uber Ride,532.92,Expense,Transportation
02-16-2024,Swiggy Order,335.03,Expense,Food & Dining
02-16-2024,House Rent,28471.55,Expense,Housing
02-17-2024,YouTube Premium,139.0,Expense,Subscriptions
02-17-2024,Ajio Clothing,2544.35,Expense,Shopping
02-18-2024,Amazon Purchase,6513.69,Expense,Shopping
02-18-2024,Parking Charges,211.8,Expense,Transportation
02-19-2024,Amazon Purchase,6759.48,Expense,Shopping
02-19-2024,Petrol / Diesel,2853.62,Expense,Transportation
02-19-2024,BigBasket Groceries,1260.0,Expense,Groceries
02-19-2024,Apollo Pharmacy,583.08,Expense,Healthcare
02-19-2024,ATM Withdrawal,1225.79,Expense,Miscellaneous
02-19-2024,Apollo Pharmacy,1654.07,Expense,Healthcare
02-20-2024,Hotel Stay,4619.78,Expense,Travel
02-20-2024,Freelance Payment,7826.68,Income,Income
02-21-2024,Cashback Credit,712.34,Income,Income
02-21-2024,Insurance Premium,1730.48,Expense,Insurance
02-21-2024,PVR Cinemas,307.19,Expense,Entertainment
02-22-2024,Ajio Clothing,624.51,Expense,Shopping
02-22-2024,Water Bill,466.6,Expense,Utilities
02-23-2024,Ajio Clothing,2787.56,Expense,Shopping
02-23-2024,UPI Received,17293.76,Income,Income
02-24-2024,Hair Salon,491.34,Expense,Personal Care
02-25-2024,Airtel Mobile Bill,644.46,Expense,Utilities
02-26-2024,Gaming Recharge,723.83,Expense,Entertainment
02-26-2024,1mg Medicine Order,702.23,Expense,Healthcare
02-26-2024,Online Course,4588.35,Expense,Education
02-26-2024,Restaurant Dinner,1019.25,Expense,Food & Dining
02-26-2024,Water Bill,273.69,Expense,Utilities
02-26-2024,Insurance Premium,2938.07,Expense,Insurance
02-26-2024,Reliance Fresh,833.8,Expense,Groceries
02-27-2024,Hotstar Subscription,481.45,Expense,Subscriptions
02-27-2024,Book Purchase,486.4,Expense,Education
02-29-2024,Freelance Payment,7361.9,Income,Income
02-29-2024,Reliance Fresh,503.7,Expense,Groceries
03-01-2024,Rapido Bike Taxi,163.57,Expense,Transportation
03-02-2024,Rental Income,5938.56,Income,Income
03-03-2024,Gaming Recharge,975.91,Expense,Entertainment
03-03-2024,1mg Medicine Order,114.35,Expense,Healthcare
03-04-2024,House Rent,17031.03,Expense,Housing
03-04-2024,DMart Purchase,372.15,Expense,Groceries
03-05-2024,Jio Recharge,433.73,Expense,Utilities
03-05-2024,More Supermarket,1340.44,Expense,Groceries
03-06-2024,PVR Cinemas,613.65,Expense,Entertainment
03-06-2024,Ola Cab,284.15,Expense,Transportation
03-07-2024,Coffee Shop,432.39,Expense,Food & Dining
03-07-2024,Bonus Credit,5284.84,Income,Income
03-08-2024,Hair Salon,1430.49,Expense,Personal Care
03-08-2024,BookMyShow Tickets,1403.78,Expense,Entertainment
03-09-2024,Hotel Stay,2655.79,Expense,Travel
03-10-2024,School Fees,10936.94,Expense,Education
03-12-2024,Online Course,749.85,Expense,Education
03-13-2024,Coffee Shop,329.76,Expense,Food & Dining
03-13-2024,Newspaper Subscription,229.07,Expense,Subscriptions
03-13-2024,Swiggy Order,616.05,Expense,Food & Dining
03-15-2024,Ola Cab,231.46,Expense,Transportation
03-15-2024,House Rent,15971.72,Expense,Housing
03-15-2024,Meesho Order,1553.51,Expense,Shopping
03-16-2024,PVR Cinemas,754.43,Expense,Entertainment
03-16-2024,PVR Cinemas,758.04,Expense,Entertainment
03-16-2024,Book Purchase,983.94,Expense,Education
03-17-2024,Interest Credit,1024.64,Income,Income
03-17-2024,Book Purchase,1207.39,Expense,Education
03-18-2024,DMart Purchase,2297.17,Expense,Groceries
03-18-2024,Transfer Received,44345.61,Income,Income
03-19-2024,Spa Treatment,2047.34,Expense,Personal Care
03-19-2024,Freelance Payment,7124.31,Income,Income
03-19-2024,Gaming Recharge,860.66,Expense,Entertainment
03-19-2024,Transfer Received,30285.98,Income,Income
03-20-2024,Interest Credit,1450.16,Income,Income
03-21-2024,Insurance Premium,8294.61,Expense,Insurance
03-22-2024,Insurance Premium,5652.58,Expense,Insurance
03-22-2024,Gym Membership,1720.33,Expense,Healthcare
03-23-2024,Myntra Fashion,2300.55,Expense,Shopping
03-23-2024,ATM Withdrawal,2868.74,Expense,Miscellaneous
03-23-2024,Restaurant Dinner,1275.61,Expense,Food & Dining
03-24-2024,Uber Ride,158.93,Expense,Transportation
03-24-2024,Travel Booking,16061.37,Expense,Travel
03-26-2024,Myntra Fashion,3134.05,Expense,Shopping
03-26-2024,Coffee Shop,295.74,Expense,Food & Dining
03-27-2024,Metro Card Recharge,674.58,Expense,Transportation
03-27-2024,Online Course,3538.73,Expense,Education
03-28-2024,Hotel Stay,8667.03,Expense,Travel
03-28-2024,ATM Withdrawal,2608.66,Expense,Miscellaneous
03-29-2024,Swiggy Order,507.43,Expense,Food & Dining
03-29-2024,Restaurant Dinner,2713.19,Expense,Food & Dining
03-30-2024,Spa Treatment,1748.01,Expense,Personal Care
03-31-2024,Hair Salon,1031.1,Expense,Personal Care
03-31-2024,Apollo Pharmacy,646.38,Expense,Healthcare
04-01-2024,Gaming Recharge,454.51,Expense,Entertainment
04-01-2024,Salary Credit,59822.34,Income,Income
04-01-2024,Jio Recharge,566.46,Expense,Utilities
04-01-2024,Travel Booking,11991.01,Expense,Travel
04-01-2024,Doctor Consultation,588.77,Expense,Healthcare
04-02-2024,Meesho Order,525.83,Expense,Shopping
04-02-2024,Maintenance Charges,1724.56,Expense,Housing
04-03-2024,Dividend Credit,13166.73,Income,Income
04-03-2024,Doctor Consultation,900.78,Expense,Healthcare
04-03-2024,Jio Recharge,571.49,Expense,Utilities
04-03-2024,Spa Treatment,2372.52,Expense,Personal Care
04-04-2024,Spa Treatment,2637.16,Expense,Personal Care
04-05-2024,Ola Cab,356.7,Expense,Transportation
04-05-2024,Dividend Credit,4389.51,Income,Income
04-06-2024,More Supermarket,356.4,Expense,Groceries
04-06-2024,Dividend Credit,6250.47,Income,Income
04-06-2024,Parking Charges,210.07,Expense,Transportation
04-08-2024,BookMyShow Tickets,680.97,Expense,Entertainment
04-08-2024,Petrol / Diesel,3224.55,Expense,Transportation
04-10-2024,Meesho Order,1124.19,Expense,Shopping
04-11-2024,Salary Credit,41928.04,Income,Income
04-11-2024,BigBasket Groceries,1624.6,Expense,Groceries
04-12-2024,Interest Credit,1627.82,Income,Income
04-12-2024,UPI Received,5287.96,Income,Income
04-14-2024,Jio Recharge,289.96,Expense,Utilities
04-14-2024,ATM Withdrawal,3562.02,Expense,Miscellaneous
04-14-2024,Hair Salon,578.03,Expense,Personal Care
04-14-2024,Reliance Fresh,477.87,Expense,Groceries
04-16-2024,Amazon Prime,402.18,Expense,Subscriptions
04-16-2024,More Supermarket,913.12,Expense,Groceries
04-17-2024,Zomato Food Delivery,731.87,Expense,Food & Dining
04-17-2024,Travel Booking,9082.68,Expense,Travel
04-17-2024,Ajio Clothing,1302.57,Expense,Shopping
04-18-2024,Dividend Credit,1489.75,Income,Income
04-19-2024,DMart Purchase,664.18,Expense,Groceries
04-19-2024,Travel Booking,18479.26,Expense,Travel
04-19-2024,Metro Card Recharge,465.44,Expense,Transportation
04-20-2024,Gym Membership,1987.28,Expense,Healthcare
04-21-2024,1mg Medicine Order,394.72,Expense,Healthcare
04-22-2024,Coffee Shop,419.6,Expense,Food & Dining
04-22-2024,Meesho Order,939.97,Expense,Shopping
04-23-2024,School Fees,11545.93,Expense,Education
04-24-2024,Airtel Mobile Bill,468.62,Expense,Utilities
04-25-2024,Bonus Credit,41826.22,Income,Income
04-25-2024,Ajio Clothing,989.53,Expense,Shopping
04-25-2024,Amazon Purchase,3243.71,Expense,Shopping
04-25-2024,Transfer Received,38188.19,Income,Income
04-25-2024,1mg Medicine Order,1105.31,Expense,Healthcare
04-26-2024,Amazon Purchase,4825.41,Expense,Shopping
04-27-2024,Ajio Clothing,1179.74,Expense,Shopping
04-27-2024,Interest Credit,1092.88,Income,Income
04-27-2024,Parking Charges,194.47,Expense,Transportation
04-27-2024,Online Course,3382.93,Expense,Education
04-28-2024,Spa Treatment,1953.01,Expense,Personal Care
04-28-2024,Petrol / Diesel,3594.86,Expense,Transportation
04-28-2024,Refund Credit,3216.21,Income,Income
04-29-2024,Myntra Fashion,1430.74,Expense,Shopping
04-29-2024,Metro Card Recharge,914.9,Expense,Transportation
04-30-2024,Electricity Bill,879.96,Expense,Utilities
04-30-2024,Bonus Credit,9117.85,Income,Income
04-30-2024,Ola Cab,324.55,Expense,Transportation
04-30-2024,PVR Cinemas,665.05,Expense,Entertainment
05-01-2024,Amazon Prime,338.53,Expense,Subscriptions
05-01-2024,Electricity Bill,2164.65,Expense,Utilities
05-01-2024,Newspaper Subscription,137.43,Expense,Subscriptions
05-02-2024,More Supermarket,1317.11,Expense,Groceries
05-02-2024,Zomato Food Delivery,720.76,Expense,Food & Dining
05-03-2024,Electricity Bill,2439.89,Expense,Utilities
05-03-2024,Ola Cab,178.07,Expense,Transportation
05-03-2024,DMart Purchase,372.72,Expense,Groceries
05-03-2024,Amazon Purchase,1253.43,Expense,Shopping
05-04-2024,Travel Booking,11243.29,Expense,Travel
05-04-2024,Zomato Food Delivery,807.1,Expense,Food & Dining
05-05-2024,Bonus Credit,7929.16,Income,Income
05-05-2024,Transfer Received,20838.41,Income,Income
